"Grade","Score"
"9th","55.0"
"9th","48.6"
"9th","56.5"
"9th","65.2"
"9th","47.7"
"9th","47.7"
"9th","65.8"
"9th","57.7"
"9th","45.3"
"9th","55.4"
"9th","45.4"
"9th","45.3"
"9th","52.4"
"9th","30.9"
"9th","32.8"
"9th","44.4"
"9th","39.9"
"9th","53.1"
"9th","40.9"
"9th","35.9"
"10th","69.7"
"10th","52.7"
"10th","55.7"
"10th","40.8"
"10th","49.6"
"10th","56.1"
"10th","43.5"
"10th","58.8"
"10th","49.0"
"10th","52.1"
"10th","49.0"
"10th","73.5"
"10th","54.9"
"10th","44.4"
"10th","63.2"
"10th","42.8"
"10th","57.1"
"10th","35.4"
"10th","41.7"
"10th","57.0"
